DNL 10n, 1, Murata, GRM155R71C103KA01D, kiwi-SM0402, C107
VIR FPGA FIDUCIAL, 2, , , kiwi-FIDUCIAL, FID1 FID2
VIR GLOBAL FIDUCIAL, 4, , , kiwi-FIDUCIAL, FID3 FID4 FID5 FID6
VIR LOGO, 1, , , kiwi-KIWI_10MM, GFX1
VIR OSHW, 1, , , kiwi-OSHW_6MM, GFX2
DNL U.FL, 2, Hirose, U.FL-R-SMT-1, kiwi-U.FL, J4 J5
DNL no value, 1, , , kiwi-SM0402, R407
VIR TEST_POINT, 5, , , kiwi-TP_600, TP101 TP105 TP401 TP701 TP702
VIR TEST_POINT, 3, , , kiwi-TP_VIA_1250, TP102 TP103 TP104
VIR TEST_POINT, 2, , , kiwi-TP_VIA_600, TP301 TP402
