item#, quan, DNL, value, mfg, P/N, package, refs, mouser p/n
#1, 1, DNL, 10n, Murata, GRM155R71C103KA01D, SM0402, C107, 
#2, 2, DNL, U.FL, Hirose, U.FL-R-SMT-1, U.FL, J4 J5, 
#3, 1, DNL, (no value), , , SM0402, R407,
#4, 1, , 0R, Panasonic, ERJ-2GE0R00X, SM0402, R408, 
#5, 1, , 10R, Panasonic, ERJ-2RKF10R0X, SM0402, R701, 
#6, 1, , 28R7, Panasonic, ERJ-2RKF28R7X, SM0402, R403, 
#7, 1, , 66R5, Panasonic, ERJ-2RKF66R5X, SM0402, R402, 
#8, 4, , 100R, Panasonic, ERJ-2RKF1000X, SM0402, R101 R102 R103 R401, 
#9, 3, , 5K6, Panasonic, ERJ-2RKF5601X, SM0402, R303 R304 R305, 
#10, 1, , 6K65, Panasonic, ERJ-2RKF6651X, SM0402, R702, 
#11, 4, , 10K, Panasonic, ERJ-2RKF1002X, SM0402, R406 R409 R410 R703, 
#12, 2, , 100R, Bourns, CAY16-101J8LF, RNET_CAY16_J8, R404 R405, 
#13, 2, , 22p, Murata, GRM1555C1H220JA01D, SM0402, C101 C104, 
#14, 2, , 56p/100, Murata, GRM1555C2A560JA01D, SM0402, C401 C404, 
#15, 4, , 100p, Murata, GRM1555C1H101JA01D, SM0402, C194 C408 C411 C416, 
#16, 2, , 160p/50, Murata, GRM1555C1H161JA01D, SM0402, C402 C403, 
#17, 5, , 1n, Murata, GCM155R71H102KA37D, SM0402, C407 C409 C428 C430 C432, 
#18, 8, , 10n, Murata, GRM155R71C103KA01D, SM0402, C105 C106 C193 C303 C305 C413 C417 C425, 
#19, 14, , 100n, Murata, GRM155R71C104KA88D, SM0402, C190 C191 C192 C195 C301 C421 C422 C423 C424 C429 C431 C433 C702 C704, 
#20, 28, , 470n, Murata, GRM155R6YA474KE01D, SM0402, C1 C2 C3 C6 C7 C8 C11 C12 C13 C15 C16 C23 C24 C25 C26 C30 C31 C32 C33 C36 C37 C38 C39 C42 C302 C304 C410 C414, 
#21, 7, , 1u, Murata, GRM155R61E105KA12D, SM0402, C196 C197 C418 C419 C426 C427 C705, 
#22, 3, , 2.2u, Murata, GRM155R60J225ME15D, SM0402, C412 C415 C420, 
#23, 11, , 4.7u, Murata, GRM155R60J475ME47D, SM0402, C9 C14 C17 C18 C27 C28 C34 C35 C40 C41 C706, 
#24, 1, , 1n/100, Murata, GRM219R72A102KA01J, SM0805, C405, 
#25, 1, , 22u, Murata, GRM21BR60J226ME39L, SM0805, C701, 
#26, 1, , 470n/100, AVX, ESD61C474K4T2A-28, SM1206, C406, 
#27, 4, , 100u, Murata, GRM31CR60J107ME39L, SM1206, C5 C20 C29 C703, 
#28, 5, , FB 600Z, TDK, MMZ1005B601C, SM0402, L102 L103 L104 L407 L408, 
#29, 1, , 39nH, TDK, MLK1005S39NJ, SM0402, L101, 
#30, 3, , 150nH, TDK, MLG1005SR15J, SM0402, L403 L405 L406, 
#31, 1, , 270nH, TDK, MLG1005SR27J, SM0402, L402, 
#32, 2, , 330nH, TDK, MLG1005SR33J, SM0402, L401 L404, 
#33, 1, , 1uH 3.7A, Bourns, SRN4018-1R0Y, INDUCTOR_4x4, L701, 
#34, 1, , CMC 500uH 1A, Bourns, SRF0905A-501Y, CMC, T301, 
#35, 1, , SAW L1, RFM, SF1186G, SAW, FL101, 
#36, 1, , SE4150L, Skyworks, SE4150L-R, QFN24, U101, 
#37, 1, , EEPROM 32Kx8, On Semi, CAT24C256YI-GT3, TSSOP8, U301, 
#38, 2, , NC7SZ125, Fairchild, NC7SZ125P5X, SC70_5, U403 U406, 
#39, 1, , LMR10530Y 1.0V 3A, TI, LMR10530YSD/NOPB, WSON10, U701, 
#40, 2, , LP5907 3.3V 250mA, TI, LP5907QMFX-3.3Q1, SOT23_5, U104 U404, 
#41, 1, , LP5907 1.8V 250mA, TI, LP5907QMFX-1.8Q1, SOT23_5, U702, 
#42, 1, , SR 5A 40V, Vishay, SSB44-E3/52T, DO214_AA, D701, 
#43, 2, , TVS 3.3V, Bourns, CDSOD323-T03C, SOD323, Z401 Z402, 
#44, 1, , 66.6666 MHz, Conner Winfield, CWX823-066.6666M, XO, U402, 
#45, 1, , 16.368 MHz, TXC, 7Q-16.368MBG-T, TCXO, X101, 
#46, 2, , RF_SHIELD 29x19, Laird, BMI-S-209-F, *, ZR401 ZR101, 
#47, 2, , RF_SHIELD_COVER 29x19, Laird, BMI-S-209-C, RF_SHIELD_COVER, ZR102 ZR402, 
#48, 1, , Artix-7 A35, Xilinx, XC7A35T-1FTG256C, FTG256, U1, 
#49, 1, , LTC2248, Linear Tech, LTC2248CUH#PBF, QFN32, U401, 
#50, 1, , LTC6401-20, Linear Tech, LTC6401CUD-20#PBF, QFN16, U405, 
