Qty,Line Item,Manufacturer,MPN,Octopart URL,Schematic Reference,Internal Part Number,Description,Total Qty (@ Batch Size: 100),SKU,SKU,SKU,SKU,SKU,Packaging,Packaging,Packaging,Packaging,Packaging,Unit Price (@ Batch Size: 100),Unit Price (@ Batch Size: 100),Unit Price (@ Batch Size: 100),Unit Price (@ Batch Size: 100),Unit Price (@ Batch Size: 100),In Stock,In Stock,In Stock,In Stock,In Stock,MOQ,MOQ,MOQ,MOQ,MOQ,URL,URL,URL,URL,URL,Distributor [Lowest Price (Overall)],SKU [Lowest Price (Overall)],Packaging [Lowest Price (Overall)],Unit Price (@ Batch Size: 100) [Lowest Price (Overall)],Line Total [Lowest Price (Overall)],Batch Total [Lowest Price (Overall)],In Stock [Lowest Price (Overall)],MOQ [Lowest Price (Overall)],URL [Lowest Price (Overall)],Notes
,,,,,,,,,Avnet Express,Digi-Key,Mouser,Newark,TTI,Avnet Express,Digi-Key,Mouser,Newark,TTI,Avnet Express,Digi-Key,Mouser,Newark,TTI,Avnet Express,Digi-Key,Mouser,Newark,TTI,Avnet Express,Digi-Key,Mouser,Newark,TTI,Avnet Express,Digi-Key,Mouser,Newark,TTI,,,,,,,,,,
1,ERJ-2GE0R00X,Panasonic,ERJ-2GE0R00X,https://octopart.com/erj-2ge0r00x-panasonic-55404976,R408,,0R,100,ERJ-2GE0R00X,P0.0JCT-ND,ERJ-2GE0R00X,65T8307,ERJ-2GE0R00X,,Cut Tape,,Cut Tape,,,0.0105,0.006,0.01,,215000,13919495,1133442,47592,660000,10000,1,,1,10000,https://octopart-clicks.com/click/track?country=NZ&ak=68b25f31&sig=0fb30d7&sid=5822&ppid=55404976&vpid=187897744&ct=offers,https://octopart-clicks.com/click/track?country=NZ&ak=68b25f31&sig=00832d4&sid=459&ppid=55404976&vpid=188058940&ct=offers,https://octopart-clicks.com/click/track?country=NZ&ak=68b25f31&sig=0bc831f&sid=2401&ppid=55404976&vpid=187838782&ct=offers,https://octopart-clicks.com/click/track?country=NZ&ak=68b25f31&sig=07341ab&sid=2402&ppid=55404976&vpid=190851112&ct=offers,https://octopart-clicks.com/click/track?country=NZ&ak=68b25f31&sig=068e560&sid=950&ppid=55404976&vpid=191576395&ct=offers,Area51,ERJ-2GE0R00X,,0.0015,0.0015,0.15,27413,,https://octopart-clicks.com/click/track?country=NZ&ak=68b25f31&sig=00bdc78&sid=13811&ppid=55404976&vpid=189253240&ct=offers,
1,ERJ-2RKF10R0X,Panasonic,ERJ-2RKF10R0X,https://octopart.com/erj-2rkf10r0x-panasonic-55404982,R701,,10R,100,ERJ-2RKF10R0X,P10.0LCT-ND,ERJ-2RKF10R0X,64R5245,ERJ-2RKF10R0X,,Cut Tape,,Cut Tape,,,0.011,0.008,0.014,,0,1975169,537250,4910,130000,10000,1,,1,10000,https://octopart-clicks.com/click/track?country=NZ&ak=68b25f31&sig=04e945a&sid=5822&ppid=55404982&vpid=187897807&ct=offers,https://octopart-clicks.com/click/track?country=NZ&ak=68b25f31&sig=0679955&sid=459&ppid=55404982&vpid=188059298&ct=offers,https://octopart-clicks.com/click/track?country=NZ&ak=68b25f31&sig=065d515&sid=2401&ppid=55404982&vpid=187838954&ct=offers,https://octopart-clicks.com/click/track?country=NZ&ak=68b25f31&sig=0bc7566&sid=2402&ppid=55404982&vpid=190851199&ct=offers,https://octopart-clicks.com/click/track?country=NZ&ak=68b25f31&sig=03e6b1d&sid=950&ppid=55404982&vpid=187639980&ct=offers,Arrow,ERJ-2RKF10R0X**MULT1,Cut Tape,0.0042,0.0042,0.42,5918,1,https://octopart-clicks.com/click/track?country=NZ&ak=68b25f31&sig=008f675&sid=1106&ppid=55404982&vpid=190127265&ct=offers,
1,ERJ-2RKF28R7X,Panasonic,ERJ-2RKF28R7X,https://octopart.com/erj-2rkf28r7x-panasonic-55421082,R403,,28R7,100,ERJ-2RKF28R7X,P28.7LCT-ND,ERJ-2RKF28R7X,90W3021,,,Cut Tape,,Cut Tape,,,0.011,0.01,,,0,34899,34680,48910,,60000,1,,50000,,https://octopart-clicks.com/click/track?country=NZ&ak=68b25f31&sig=0b09793&sid=5822&ppid=55421082&vpid=196306622&ct=offers,https://octopart-clicks.com/click/track?country=NZ&ak=68b25f31&sig=0c2849b&sid=459&ppid=55421082&vpid=188059738&ct=offers,https://octopart-clicks.com/click/track?country=NZ&ak=68b25f31&sig=0e967f8&sid=2401&ppid=55421082&vpid=194417988&ct=offers,https://octopart-clicks.com/click/track?country=NZ&ak=68b25f31&sig=0faffad&sid=2402&ppid=55421082&vpid=191369741&ct=offers,,Mouser,ERJ-2RKF28R7X,,0.01,0.01,1,34680,,https://octopart-clicks.com/click/track?country=NZ&ak=68b25f31&sig=0e967f8&sid=2401&ppid=55421082&vpid=194417988&ct=offers,
1,ERJ-2RKF66R5X,Panasonic,ERJ-2RKF66R5X,https://octopart.com/erj-2rkf66r5x-panasonic-55421263,R402,,66R5,100,ERJ-2RKF66R5X,P66.5LCT-ND,ERJ-2RKF66R5X,90W3071,,,Cut Tape,,Cut Tape,,,0.011,0.01,0.002,,0,88398,86405,39388,,60000,1,,1,,https://octopart-clicks.com/click/track?country=NZ&ak=68b25f31&sig=0683294&sid=5822&ppid=55421263&vpid=196307106&ct=offers,https://octopart-clicks.com/click/track?country=NZ&ak=68b25f31&sig=05ba1c9&sid=459&ppid=55421263&vpid=188060118&ct=offers,https://octopart-clicks.com/click/track?country=NZ&ak=68b25f31&sig=0214096&sid=2401&ppid=55421263&vpid=189150641&ct=offers,https://octopart-clicks.com/click/track?country=NZ&ak=68b25f31&sig=0a8661d&sid=2402&ppid=55421263&vpid=190851410&ct=offers,,Newark,90W3071,Cut Tape,0.002,0.002,0.2,39388,1,https://octopart-clicks.com/click/track?country=NZ&ak=68b25f31&sig=0a8661d&sid=2402&ppid=55421263&vpid=190851410&ct=offers,
4,ERJ-2RKF1000X,Panasonic,ERJ-2RKF1000X,https://octopart.com/erj-2rkf1000x-panasonic-55403628,R101 R102 R103 R401,,100R,400,ERJ-2RKF1000X,P100LCT-ND,ERJ-2RKF1000X,64R5246,ERJ-2RKF1000X,,Cut Tape,,Cut Tape,,,0.0084,0.008,0.011,,138649,7768623,942185,8538,320000,10000,1,,1,10000,https://octopart-clicks.com/click/track?country=NZ&ak=68b25f31&sig=0d89947&sid=5822&ppid=55403628&vpid=187897790&ct=offers,https://octopart-clicks.com/click/track?country=NZ&ak=68b25f31&sig=0ed8a8a&sid=459&ppid=55403628&vpid=188059258&ct=offers,https://octopart-clicks.com/click/track?country=NZ&ak=68b25f31&sig=0bf9d13&sid=2401&ppid=55403628&vpid=187838935&ct=offers,https://octopart-clicks.com/click/track?country=NZ&ak=68b25f31&sig=07f8e11&sid=2402&ppid=55403628&vpid=190851187&ct=offers,https://octopart-clicks.com/click/track?country=NZ&ak=68b25f31&sig=0facc04&sid=950&ppid=55403628&vpid=187639968&ct=offers,Area51,ERJ-2RKF1000X,,0.003,0.012,1.2,17568,,https://octopart-clicks.com/click/track?country=NZ&ak=68b25f31&sig=0da7b6a&sid=13811&ppid=55403628&vpid=192197461&ct=offers,
3,ERJ-2RKF5601X,Panasonic,ERJ-2RKF5601X,https://octopart.com/erj-2rkf5601x-panasonic-12614766,R303 R304 R305,,5K6,300,ERJ-2RKF5601X,P5.60KLCT-ND,ERJ-2RKF5601X,64R5293,,,Cut Tape,,Cut Tape,,,0.0084,0.008,0.011,,50000,269885,106421,578,,10000,1,,1,,https://octopart-clicks.com/click/track?country=NZ&ak=68b25f31&sig=0bbc2b0&sid=5822&ppid=12614766&vpid=115343886&ct=offers,https://octopart-clicks.com/click/track?country=NZ&ak=68b25f31&sig=048cfbf&sid=459&ppid=12614766&vpid=115259422&ct=offers,https://octopart-clicks.com/click/track?country=NZ&ak=68b25f31&sig=0cb4185&sid=2401&ppid=12614766&vpid=115231372&ct=offers,https://octopart-clicks.com/click/track?country=NZ&ak=68b25f31&sig=0629898&sid=2402&ppid=12614766&vpid=119882852&ct=offers,,Allied Electronics,70265575,Bulk,0.003,0.009000000000000001,0.8999999999999999,49590,1,https://octopart-clicks.com/click/track?country=NZ&ak=68b25f31&sig=0d53a9c&sid=14&ppid=12614766&vpid=166265985&ct=offers,
1,ERJ-2RKF6651X,Panasonic,ERJ-2RKF6651X,https://octopart.com/erj-2rkf6651x-panasonic-55421261,R702,,6K65,100,ERJ-2RKF6651X,P6.65KLCT-ND,ERJ-2RKF6651X,53W4444,ERJ-2RKF6651X,,Cut Tape,,Cut Tape,,,0.011,0.01,0.003,,0,291786,118855,9870,60000,60000,1,,1,10000,https://octopart-clicks.com/click/track?country=NZ&ak=68b25f31&sig=07c4ba1&sid=5822&ppid=55421261&vpid=196307099&ct=offers,https://octopart-clicks.com/click/track?country=NZ&ak=68b25f31&sig=0c551c4&sid=459&ppid=55421261&vpid=188060112&ct=offers,https://octopart-clicks.com/click/track?country=NZ&ak=68b25f31&sig=0815daf&sid=2401&ppid=55421261&vpid=187839471&ct=offers,https://octopart-clicks.com/click/track?country=NZ&ak=68b25f31&sig=0728a31&sid=2402&ppid=55421261&vpid=190851409&ct=offers,https://octopart-clicks.com/click/track?country=NZ&ak=68b25f31&sig=06f2d3c&sid=950&ppid=55421261&vpid=212172459&ct=offers,Newark,53W4444,Cut Tape,0.003,0.003,0.3,9870,1,https://octopart-clicks.com/click/track?country=NZ&ak=68b25f31&sig=0728a31&sid=2402&ppid=55421261&vpid=190851409&ct=offers,
4,ERJ-2RKF1002X,Panasonic,ERJ-2RKF1002X,https://octopart.com/erj-2rkf1002x-panasonic-55411477,R406 R409 R410 R703,,10K,400,ERJ-2RKF1002X,P10.0KLCT-ND,ERJ-2RKF1002X,64R5248,ERJ-2RKF1002X,,Cut Tape,,Cut Tape,,,0.0084,0.008,0.011,,890000,9310566,2699933,64508,1620000,10000,1,,1,10000,https://octopart-clicks.com/click/track?country=NZ&ak=68b25f31&sig=0edf3dd&sid=5822&ppid=55411477&vpid=187897799&ct=offers,https://octopart-clicks.com/click/track?country=NZ&ak=68b25f31&sig=0c0f83c&sid=459&ppid=55411477&vpid=188059264&ct=offers,https://octopart-clicks.com/click/track?country=NZ&ak=68b25f31&sig=0ef6208&sid=2401&ppid=55411477&vpid=187838939&ct=offers,https://octopart-clicks.com/click/track?country=NZ&ak=68b25f31&sig=06aba6e&sid=2402&ppid=55411477&vpid=190851191&ct=offers,https://octopart-clicks.com/click/track?country=NZ&ak=68b25f31&sig=0999813&sid=950&ppid=55411477&vpid=192252929&ct=offers,Arrow,ERJ-2RKF1002X**MULT1,Cut Tape,0.004,0.016,1.6,13169,1,https://octopart-clicks.com/click/track?country=NZ&ak=68b25f31&sig=003b86e&sid=1106&ppid=55411477&vpid=188035435&ct=offers,
2,CAY16-101J8LF,Bourns,CAY16-101J8LF,https://octopart.com/cay16-101j8lf-bourns-2401389,R404 R405,,100R,200,CAY16-101J8LF,CAY16-101J8LFCT-ND,CAY16-101J8LF,,,,Cut Tape,,,,,0.1042,0.096,,,0,7630,3213,,,10000,1,,,,https://octopart-clicks.com/click/track?country=NZ&ak=68b25f31&sig=02531d8&sid=5822&ppid=2401389&vpid=28044837&ct=offers,https://octopart-clicks.com/click/track?country=NZ&ak=68b25f31&sig=0ce26ee&sid=459&ppid=2401389&vpid=216650534&ct=offers,https://octopart-clicks.com/click/track?country=NZ&ak=68b25f31&sig=0e2289a&sid=2401&ppid=2401389&vpid=88015698&ct=offers,,,Onlinecomponents.com,CAY16101J8LF,Bulk,0.057,0.114,11.4,400,1,https://octopart-clicks.com/click/track?country=NZ&ak=68b25f31&sig=0f7d352&sid=2429&ppid=2401389&vpid=35134726&ct=offers,
