item#, quan, value, mfg, P/N, package, place, refs, SMD marking, fine pitch, polarized, generic substitution, OPL, specs, critical spec, notes
#1, 1, 10n, Murata, GRM155R71C103KA01D, SM0402, DNL, C107, , , , YES, , 10% X7R 16V, , DO NOT LOAD; ceramic capacitor
#2, 2, U.FL, Hirose, U.FL-R-SMT-1, U.FL, DNL, J4 J5, , , , YES, , , , DO NOT LOAD; coaxial connector
#3, 1, (no value), , , SM0402, DNL, R407, , , , YES, , , , DO NOT LOAD

#4, 1, 0R, Panasonic, ERJ-2GE0R00X, SM0402, SMT, R408, , , , YES, , , , zero-ohm jumper
#5, 1, 10R, Panasonic, ERJ-2RKF10R0X, SM0402, SMT, R701, , , , YES, , 1% 100mW 50V, , thick film resistor
#6, 1, 28R7, Panasonic, ERJ-2RKF28R7X, SM0402, SMT, R403, , , , YES, , 1% 100mW 50V, , thick film resistor
#7, 1, 66R5, Panasonic, ERJ-2RKF66R5X, SM0402, SMT, R402, , , , YES, , 1% 100mW 50V, , thick film resistor
#8, 4, 100R, Panasonic, ERJ-2RKF1000X, SM0402, SMT, R101 R102 R103 R401, , , , YES, , 1% 100mW 50V, , thick film resistor
#9, 3, 5K6, Panasonic, ERJ-2RKF5601X, SM0402, SMT, R303 R304 R305, , , , YES, , 1% 100mW 50V, , thick film resistor
#10, 1, 6K65, Panasonic, ERJ-2RKF6651X, SM0402, SMT, R702, , , , YES, , 1% 100mW 50V, , thick film resistor
#11, 4, 10K, Panasonic, ERJ-2RKF1002X, SM0402, SMT, R406 R409 R410 R703, , , , YES, , 1% 100mW 50V, , thick film resistor
#12, 2, 100R, Bourns, CAY16-101J8LF, RNET_CAY16_J8, SMT, R404 R405, , FINE, , YES, , 5% 62.5mW 25V, , isolated resistor array
#13, 2, 22p, Murata, GRM1555C1H220JA01D, SM0402, SMT, C101 C104, , , , YES, , 5% C0G 50V, , ceramic capacitor
#14, 2, 56p/100, Murata, GRM1555C2A560JA01D, SM0402, SMT, C401 C404, , , , YES, , 5% C0G 100V, >= 100V, ceramic capacitor
#15, 4, 100p, Murata, GRM1555C1H101JA01D, SM0402, SMT, C194 C408 C411 C416, , , , YES, , 5% C0G 50V, , ceramic capacitor
#16, 2, 160p/50, Murata, GRM1555C1H161JA01D, SM0402, SMT, C402 C403, , , , YES, , 5% C0G 50V, >= 50V, ceramic capacitor
#17, 5, 1n, Murata, GCM155R71H102KA37D, SM0402, SMT, C407 C409 C428 C430 C432, , , , YES, , 10% X7R 50V, , ceramic capacitor
#18, 8, 10n, Murata, GRM155R71C103KA01D, SM0402, SMT, C105 C106 C193 C303 C305 C413 C417 C425, , , , YES, , 10% X7R 16V, , ceramic capacitor
#19, 14, 100n, Murata, GRM155R71C104KA88D, SM0402, SMT, C190 C191 C192 C195 C301 C421 C422 C423 C424 C429 C431 C433 C702 C704, , , , YES, , 10% X7R 16V, , ceramic capacitor
#20, 28, 470n, Murata, GRM155R6YA474KE01D, SM0402, SMT, C1 C2 C3 C6 C7 C8 C11 C12 C13 C15 C16 C23 C24 C25 C26 C30 C31 C32 C33 C36 C37 C38 C39 C42 C302 C304 C410 C414, , , , YES, , 10% X5R 35V, , ceramic capacitor
#21, 7, 1u, Murata, GRM155R61E105KA12D, SM0402, SMT, C196 C197 C418 C419 C426 C427 C705, , , , YES, , 10% X5R 25V, , ceramic capacitor
#22, 3, 2.2u, Murata, GRM155R60J225ME15D, SM0402, SMT, C412 C415 C420, , , , YES, , 20% X5R 6.3V, , ceramic capacitor
#23, 11, 4.7u, Murata, GRM155R60J475ME47D, SM0402, SMT, C9 C14 C17 C18 C27 C28 C34 C35 C40 C41 C706, , , , YES, , 20% X5R 6.3V, , ceramic capacitor
#24, 1, 1n/100, Murata, GRM219R72A102KA01J, SM0805, SMT, C405, , , , YES, , 10% X7R 100V, >= 100V, ceramic capacitor
#25, 1, 22u, Murata, GRM21BR60J226ME39L, SM0805, SMT, C701, , , , YES, , 20% X5R 6.3V, , ceramic capacitor
#26, 1, 470n/100, AVX, ESD61C474K4T2A-28, SM1206, SMT, C406, , , , YES, , 10% X7R 100V, >= 100V, ceramic capacitor
#27, 4, 100u, Murata, GRM31CR60J107ME39L, SM1206, SMT, C5 C20 C29 C703, , , , YES, , 20% X5R 6.3V, , ceramic capacitor
#28, 5, FB 600Z, TDK, MMZ1005B601C, SM0402, SMT, L102 L103 L104 L407 L408, , , , YES, , 25% 200mA 600Z@100M, , ferrite chip
#29, 1, 39nH, TDK, MLK1005S39NJ, SM0402, SMT, L101, , , , -- NO --, , 5% 200mA 2GHzSelfRes 6Q@100M, >= 2GHz self-resonance (above GPS L1), chip inductor
#30, 3, 150nH, TDK, MLG1005SR15J, SM0402, SMT, L403 L405 L406, , , , YES, , 5% 150mA 8Q@100M, , chip inductor
#31, 1, 270nH, TDK, MLG1005SR27J, SM0402, SMT, L402, , , , YES, , 3% 100mA 8Q@100M, , chip inductor
#32, 2, 330nH, TDK, MLG1005SR33J, SM0402, SMT, L401 L404, , , , YES, , 3% 50mA 6Q@100M, , chip inductor
#33, 1, 1uH 3.7A, Bourns, SRN4018-1R0Y, INDUCTOR_4x4, SMT, L701, , , , YES, , ferrite 30% 3.7A, , inductor; use: SMPS
#34, 1, CMC 500uH 1A, Bourns, SRF0905A-501Y, CMC, SMT, T301, 501Y, , , -- NO --, , ferrite 50% 1A, , inductor; use: bias tee
#35, 1, SAW L1, RFM, SF1186G, SAW, SMT, FL101, 2A, , , YES, , 1572.42MHz 2MHzBW, , GPS SAW filter
#36, 1, SE4150L, Skyworks, SE4150L-R, QFN24, SMT, U101, , FINE, , -- NO --, , , , GPS front-end
#37, 1, EEPROM 32Kx8, On Semi, CAT24C256YI-GT3, TSSOP8, SMT, U301, , , , YES, , 256kb=32kx8b 100k/400k/1MHz I2C, , EEPROM
#38, 2, NC7SZ125, Fairchild, NC7SZ125P5X, SC70_5, SMT, U403 U406, Z25, , , -- NO --, , 3.3V 2.6nsTpd, , clock buffer
#39, 1, LMR10530Y 1.0V 3A, TI, LMR10530YSD/NOPB, WSON10, SMT, U701, , FINE, , -- NO --, , 5.5Vin 3A 3MHz, , step-down voltage reg
#40, 2, LP5907 3.3V 250mA, TI, LP5907QMFX-3.3Q1, SOT23_5, SMT, U104 U404, , , , -- NO --, , 3.3V 250mA 0.12Vdo, , low-noise LDO voltage reg
#41, 1, LP5907 1.8V 250mA, TI, LP5907QMFX-1.8Q1, SOT23_5, SMT, U702, , , , -- NO --, , 1.8V 250mA 0.12Vdo, , low-noise LDO voltage reg
#42, 1, SR 5A 40V, Vishay, SSB44-E3/52T, DO214_AA, SMT, D701, S44, , YES, -- NO --, , 40V 0.42Vf 4.0AIf , <= 0.42 Vf, Schottky rectifier; use: SMPS
#43, 2, TVS 3.3V, Bourns, CDSOD323-T03C, SOD323, SMT, Z401 Z402, 3C, , , YES, , 3.3Vw 4.0Vbr 7.0Vclamp 3pF, , bi-directional TVS
#44, 1, 66.6666 MHz, Conner Winfield, CWX823-066.6666M, XO, SMT, U402, , , , YES, , 3.3V 50ppm 1psTjms, <= 1ps RMS phase jitter, XO: prototype with 66.6666 MHz since distributors stock this freq; for production special order 65.000 MHz from manufacturer
#45, 1, 16.368 MHz, TXC, 7Q-16.368MBG-T, TCXO, SMT, X101, , , , YES, , 3.3V clipped sinewave tempco 0.5ppm, tempco 0.5 ppm, TCXO
#46, 2, RF_SHIELD 29x19, Laird, BMI-S-209-F, *, SMT, ZR401 ZR101, , , , YES, , 29x19mm; 7mm high, , RF shield frame
#47, 2, RF_SHIELD_COVER 29x19, Laird, BMI-S-209-C, RF_SHIELD_COVER, MANUAL, ZR102 ZR402, , , , YES, , 29x19mm, , RF shield cover; manual install
#48, 1, Artix-7 A35, Xilinx, XC7A35T-1FTG256C, FTG256, SMT, U1, , , , -- NO --, , 17x17 1.0mm BGA, , FPGA
#49, 1, LTC2248, Linear Tech, LTC2248CUH#PBF, QFN32, SMT, U401, , FINE, , -- NO --, , 14-bit 65MHz 240mW, , ADC
#50, 1, LTC6401-20, Linear Tech, LTC6401CUD-20#PBF, QFN16, SMT, U405, , FINE, , -- NO --, , +20dB 6.2dBNF 1.3GHz, , differential ADC driver
#51, 2, SMA, DanYang RongHua, SMAKE-11, SMA_OPL_EM, EDGE, J2 J3, , , , YES, OPL 320160004, 50 Ohm; edge mount, fits 1.6mm/63mil PCB thickness, SMA connector
#52, 2, HEADER 13x2, Yxcon, P125-1226A0AS116A1, BEAGLEBONE_BLACK, T/H, ZB1, , , , YES, OPL 320020092, 13 rows; 2 pins/row; 2.54mm/0.1in; 6mm tail length, , 13x2 0.1 inch header connector
#53, 1, TB_2, Senger, GS019-2.54-02P-1, TB_2P_2_54MM, T/H, J1, , , , YES, OPL 320110130, 2pos 2.54mm; fits 1.6mm/63mil thick PCB, , terminal block side wire entry
#54, 1, POWER JACK 2.1MM, Shenzhen Best, DC-044-A, JACK_2_1MM_TH, T/H, J6, , , , YES, OPL 320120002, 2.1mm w/ locating pin, , power jack
