item#, quan, DNL, value, mfg, P/N, package, refs, mouser p/n
#1, 10, DNL, (no value), , , SM0805, C511 C512 C513 C514 C515 C516 C517 C518 C519 R522,
#2, 1, DNL, 100n/100, Murata, GRM21BR72A103KA01L, SM0805, C521, 
#3, 2, DNL, 470n/100, AVX, ESD61C474K4T2A-28, SM1206, C504 C505, 
#4, 1, DNL, J310, Fairchild, MMBFJ310, SOT23_DGS, Q507, 512-MMBFJ310
#5, 2, DNL, 100R, Panasonic, ERJ-6ENF1000V, SM0805, R503 R504, 
#6, 1, DNL, 1M, Panasonic, ERJ-6ENF1004V, SM0805, R511, 
#7, 2, DNL, 0R, Panasonic, ERJ-6GEY0R00V, SM0805, R513 R518, 
#8, 1, DNL, 47R, Panasonic, ERJ-6ENF47R0V, SM0805, R517, 
#9, 1, DNL, T-622, MCL, T-622-KK81+, MCL_KK81, T501, 
#10, 2, DNL, T1-6, MCL, T1-6-KK81+, MCL_KK81, T502 T504, 
#11, 11, , 0R, Panasonic, ERJ-6GEY0R00V, SM0805, L501 L502 L503 L504 L505 R512 R515 R516 R519 R523 R524, 
#12, 1, , 100R, Panasonic, ERJ-6ENF1000V, SM0805, R514, 
#13, 2, , 470R, Panasonic, ERJ-6ENF4700V, SM0805, R508 R509, 
#14, 1, , 1K, Panasonic, ERJ-6ENF1001V, SM0805, R521, 
#15, 1, , 1K5, Panasonic, ERJ-6ENF1501V, SM0805, R525, 
#16, 1, , 2K2, Panasonic, ERJ-6ENF2201V, SM0805, R506, 
#17, 1, , 11K, Panasonic, ERJ-6ENF1102V, SM0805, R520, 
#18, 2, , 100K, Panasonic, ERJ-6ENF1003V, SM0805, R505 R507, 
#19, 2, , 1M, Panasonic, ERJ-6ENF1004V, SM0805, R501 R502, 
#20, 1, , 10R/0.66W, Panasonic, ERJ-P08F10R0V, SM1206, R510, 
#21, 6, , 1n/100, Murata, GRM219R72A102KA01J, SM0805, C522 C523 C524 C525 C526 C527, 
#22, 1, , 100n/100, Murata, GRM21BR72A103KA01L, SM0805, C509, 
#23, 2, , 10u/25, Murata, GRM219R61E106KA12D, SM0805, C510 C520, 
#24, 6, , 470n/100, AVX, ESD61C474K4T2A-28, SM1206, C501 C502 C503 C506 C507 C508, 
#25, 1, , 100uH, TDK, B82432T1104K, SM1812, L506, 
#26, 1, , CMC 2 mH, Bourns, SRF0905A-202Y, CMC, T503, 
#27, 1, , J310, Fairchild, MMBFJ310, SOT23_DGS, Q501, 512-MMBFJ310
#28, 1, , J271, Fairchild, MMBFJ271, SOT23_DGS, Q502, 512-MMBFJ271
#29, 2, , BFG31, NXP, BFG31.115, SOT223_EBEC, Q503 Q506, 771-BFG31-T/R
#30, 2, , BFG35, NXP, BFG35.115, SOT223_EBEC, Q504 Q505, 771-BFG35-T/R
#31, 1, , TPS7A4501, TI, TPS7A4501DCQR, SOT223_6, U501, 
#32, 4, , FB 80Z, TDK, MMZ2012D800B, SM0805, L507 L508 L509 L510, 
#33, 2, , TB_2, TE Conn, 282834-2, TB_2P_2_54MM, J12 J13, 571-282834-2
#34, 1, , SMA, Molex, 73251-1150, BNC_SMA_NO_VIP, J10, 
#35, 1, , RJ45, FCI, 54602-908LF, RJ45_8, J11, 
