item#, quan, value, mfg, P/N, package, place, refs, SMD marking, fine pitch, generic substitution, specs, critical spec, notes
#1, 24, (no value), , , SM0805, DNL, "C503 C504 C505 C507 C508 C511 C512 C513 C514 C515 C516 C517 C518 C519 C524 C525 C527 R217 R501 R503 R504 R508 R509 R522", , , YES, , , DO NOT LOAD
#2, 2, (no value), , , SM1206, DNL, "C215 C216", , , YES, , , DO NOT LOAD
#3, 3, BNC, Amp Connex, 112640, BNC_SMA_NO_VIP, DNL, "J14 J25 J26", , , YES, 50 Ohm; edge mount, fits 1.6mm/63mil PCB thickness; compatible with SMA footprint, DO NOT LOAD; BNC connector using SMA footprint
#4, 2, RJ45, FCI, 54602-908LF, RJ45_8, DNL, "J11 J23", , , YES, 8pos; right angle; unshielded; CAT3, , DO NOT LOAD; RJ45 modular jack
#5, 2, TB_2, TE, 282834-2, TB_2P_2_54MM, DNL, "J12 J24", , , YES, 2pos 2.54mm; fits 1.6mm/63mil thick PCB, , DO NOT LOAD; terminal block side wire entry
#6, 3, FB 80Z, TDK, MMZ2012D800B, SM0805, DNL, "L508 L509 L510", , , YES, 25% 500mA 80Z@100M, , DO NOT LOAD; ferrite chip
#7, 2, BFG31, NXP, BFG31.115, SOT223_EBEC, DNL, "Q503 Q506", , , -- NO --, 15Vceo 5GHz, , DO NOT LOAD; PNP wideband
#8, 1, BFG35, NXP, BFG35.115, SOT223_EBEC, DNL, "Q504", , , -- NO --, 18Vceo 4GHz, , DO NOT LOAD; NPN wideband
#9, 1, J271, Fairchild, MMBFJ271, SOT23_DGS, DNL, "Q502", 62T, , YES, 30Vgs, , DO NOT LOAD; P-chan JFET
#10, 1, J310, Fairchild, MMBFJ310, SOT23_DGS, DNL, "Q507", 6T, , YES, 25Vds, , DO NOT LOAD; N-chan JFET
#11, 3, T1-6, MCL, T1-6-KK81+, MCL_KK81, DNL, "T203 T502 T504", , , -- NO --, 1:1 10kHZ-150MHz , , DO NOT LOAD; RF transformer
#12, 1, T-622, MCL, T-622-KK81+, MCL_KK81, DNL, "T501", , , -- NO --, 1:1:1 100KHz-200MHz, , DO NOT LOAD; RF transformer

#13, 1, 10K, Pana, ERJ-2RKF1002X, SM0402, SMT, "R507", , , YES, 1% 100mW 50V, , thick film resistor
#14, 16, 0R, Pana, ERJ-6GEY0R00V, SM0805, SMT, "L501 L502 L503 L504 L505 R213 R214 R215 R506 R513 R515 R516 R518 R519 R523 R524", , , YES, , , zero-ohm jumper
#15, 5, 47R, Pana, ERJ-6ENF47R0V, SM0805, SMT, "R204 R205 R206 R207 R517", , , YES, 1% 125mW 150V, , thick film resistor
#16, 1, 220R/0.5W, Pana, ERJ-P06F2200V, SM0805, SMT, "R510", , , YES, 1% 500mW 150V, , thick film resistor
#17, 2, 680R, Pana, ERJ-6ENF6800V, SM0805, SMT, "R201 R514", , , YES, 1% 125mW 150V, , thick film resistor
#18, 2, 1K, Pana, ERJ-6ENF1001V, SM0805, SMT, "R203 R521", , , YES, 1% 125mW 150V, , thick film resistor
#19, 2, 1K5, Pana, ERJ-6ENF1501V, SM0805, SMT, "R216 R525", , , YES, 1% 125mW 150V, , thick film resistor
#20, 1, 2K2, Pana, ERJ-6ENF2201V, SM0805, SMT, "R505", , , YES, 1% 125mW 150V, , thick film resistor
#21, 1, 11K, Pana, ERJ-6ENF1102V, SM0805, SMT, "R520", , , YES, 1% 125mW 150V, , thick film resistor
