DNL no value, 11, , , kiwi-SM0805, C511 C512 C513 C514 C515 C516 C517 C518 C519 R217 R522
DNL 100n/100, 1, Murata, GRM21BR72A103KA01L, kiwi-SM0805, C521
DNL no value, 2, , , kiwi-SM1206, C215 C216
DNL 470n/100, 2, AVX, ESD61C474K4T2A-28, kiwi-SM1206, C504 C505
VIR E_FIELD_PROBE, 1, , , kiwi-E_FIELD_PROBE, EP501
VIR FIDUCIAL, 2, , , kiwi-FIDUCIAL, FID3 FID4
VIR FIDUCIAL, 2, , , kiwi-FIDUCIAL_2_SIDE, FID1 FID2
VIR LOGO, 2, , , kiwi-KIWI_10MM, GFX1 GFX2
VIR OSHW, 2, , , kiwi-OSHW_6MM, GFX3 GFX4
DNL BNC, 3, Amp Connex, 112640, kiwi-BNC_SMA_NO_VIP, J10 J23 J25
DNL RJ45, 2, FCI, 54602-908LF, kiwi-RJ45_8, J11 J21
DNL TB_2, 3, TE Conn, 282834-2, kiwi-TB_2P_2_54MM, J12 J20 J27
VIR MTG_HOLE 3.5 MM, 4, , , kiwi-MTG_NPTH_3_5MM, MTG1 MTG2 MTG3 MTG4
DNL J310, 1, Fairchild, MMBFJ310, kiwi-SOT23_DGS, Q507
DNL 100R, 2, Panasonic, ERJ-6ENF1000V, kiwi-SM0805, R503 R504
DNL 1M, 1, Panasonic, ERJ-6ENF1004V, kiwi-SM0805, R511
DNL 0R, 2, Panasonic, ERJ-6GEY0R00V, kiwi-SM0805, R513 R518
DNL 47R, 1, Panasonic, ERJ-6ENF47R0V, kiwi-SM0805, R517
DNL T1-6, 3, MCL, T1-6-KK81+, kiwi-MCL_KK81, T203 T502 T504
DNL T-622, 1, MCL, T-622-KK81+, kiwi-MCL_KK81, T501
VIR TEST_POINT, 4, , , kiwi-TP_1250, TP201 TP202 TP501 TP502
