item#, quan, DNL, value, mfg, P/N, package, refs, mouser p/n
#1, 11, DNL, (no value), , , SM0805, C511 C512 C513 C514 C515 C516 C517 C518 C519 R217 R522,
#2, 1, DNL, 100n/100, Murata, GRM21BR72A103KA01L, SM0805, C521, 
#3, 2, DNL, (no value), , , SM1206, C215 C216,
#4, 2, DNL, 470n/100, AVX, ESD61C474K4T2A-28, SM1206, C504 C505, 
#5, 3, DNL, BNC, Amp Connex, 112640, BNC_SMA_NO_VIP, J10 J23 J25, 523-112640
#6, 2, DNL, RJ45, FCI, 54602-908LF, RJ45_8, J11 J21, 
#7, 3, DNL, TB_2, TE Conn, 282834-2, TB_2P_2_54MM, J12 J20 J27, 571-282834-2
#8, 1, DNL, J310, Fairchild, MMBFJ310, SOT23_DGS, Q507, 512-MMBFJ310
#9, 2, DNL, 100R, Panasonic, ERJ-6ENF1000V, SM0805, R503 R504, 
#10, 1, DNL, 1M, Panasonic, ERJ-6ENF1004V, SM0805, R511, 
#11, 2, DNL, 0R, Panasonic, ERJ-6GEY0R00V, SM0805, R513 R518, 
#12, 1, DNL, 47R, Panasonic, ERJ-6ENF47R0V, SM0805, R517, 
#13, 3, DNL, T1-6, MCL, T1-6-KK81+, MCL_KK81, T203 T502 T504, 
#14, 1, DNL, T-622, MCL, T-622-KK81+, MCL_KK81, T501, 
#15, 14, , 0R, Panasonic, ERJ-6GEY0R00V, SM0805, L501 L502 L503 L504 L505 R213 R214 R215 R512 R515 R516 R519 R523 R524, 
#16, 4, , 47R, Panasonic, ERJ-6ENF47R0V, SM0805, R204 R205 R206 R207, 
#17, 1, , 100R, Panasonic, ERJ-6ENF1000V, SM0805, R514, 
#18, 2, , 470R, Panasonic, ERJ-6ENF4700V, SM0805, R508 R509, 
#19, 1, , 680R, Panasonic, ERJ-6ENF6800V, SM0805, R201, 
#20, 3, , 1K, Panasonic, ERJ-6ENF1001V, SM0805, R203 R208 R521, 
#21, 2, , 1K5, Panasonic, ERJ-6ENF1501V, SM0805, R216 R525, 
#22, 1, , 2K2, Panasonic, ERJ-6ENF2201V, SM0805, R506, 
#23, 1, , 11K, Panasonic, ERJ-6ENF1102V, SM0805, R520, 
#24, 1, , 11K5, Panasonic, ERJ-6ENF1152V, SM0805, R202, 
#25, 2, , 100K, Panasonic, ERJ-6ENF1003V, SM0805, R505 R507, 
#26, 2, , 1M, Panasonic, ERJ-6ENF1004V, SM0805, R501 R502, 
#27, 1, , 10R/0.66W, Panasonic, ERJ-P08F10R0V, SM1206, R510, 
#28, 7, , 1n/100, Murata, GRM219R72A102KA01J, SM0805, C211 C522 C523 C524 C525 C526 C527, 
#29, 6, , 100n/100, Murata, GRM21BR72A103KA01L, SM0805, C204 C205 C206 C207 C208 C509, 
#30, 2, , 10u/25, Murata, GRM219R61E106KA12D, SM0805, C510 C520, 
#31, 10, , 470n/100, AVX, ESD61C474K4T2A-28, SM1206, C201 C203 C212 C214 C501 C502 C503 C506 C507 C508, 
#32, 1, , 22u/25 TA, Kemet, T491D226K025AT, CAP_D, C210, 
#33, 3, , 330u/35 EL, Nichicon, UWT1V331MNL1GS, CAP_10x10, C209 C217 C218, 
#34, 1, , 120mH 60mA, Eaton Bussmann, DR125-124-R, INDUCTOR_12x12, L202, 
#35, 2, , 100uH, TDK, B82432T1104K, SM1812, L201 L506, 
#36, 3, , CMC 2 mH, Bourns, SRF0905A-202Y, CMC, T201 T202 T503, 
#37, 1, , BR 0.5A 400V, Vishay, MB2S-E3/80, TO269_AA, D201, 
#38, 1, , J310, Fairchild, MMBFJ310, SOT23_DGS, Q501, 512-MMBFJ310
#39, 1, , J271, Fairchild, MMBFJ271, SOT23_DGS, Q502, 512-MMBFJ271
#40, 2, , BFG31, NXP, BFG31.115, SOT223_EBEC, Q503 Q506, 771-BFG31-T/R
#41, 2, , BFG35, NXP, BFG35.115, SOT223_EBEC, Q504 Q505, 771-BFG35-T/R
#42, 1, , MMBT4401, On Semi, MMBT4401LT1G, SOT23_BCE, Q201, 863-MMBT4401LT1G
#43, 1, , LM2941, TI, LM2941SX/NOPB, TO263, U201, 
#44, 1, , TPS7A4501, TI, TPS7A4501DCQR, SOT232_6, U501, 
#45, 4, , FB 80Z, TDK, MMZ2012D800B, SM0805, L507 L508 L509 L510, 
#46, 2, , PPTC 200 mA, Bourns, MF-MSMF020/60-2, SM1812, F201 F202, 
#47, 1, , TVS 25VAC, AVX, VC080531C650DP, SM0805, D202, 
#48, 4, , TB_2, TE Conn, 282834-2, TB_2P_2_54MM, J13 J22 J24 J26, 571-282834-2
#49, 1, , DC JACK 2.1MM, Switchcraft, RASM722PX, DC_JACK_2_1MM, J28, 
