item#, quan, value, mfg, P/N, package, place, refs, SMD marking, fine pitch, polarized, generic substitution, specs, critical spec, notes
#1, 11, (no value), , , SM0805, DNL, C511 C512 C513 C514 C515 C516 C517 C518 C519 R217 R522, , , YES, , , , DO NOT LOAD
#2, 1, 100n/100, Murata, GRM21BR72A103KA01L, SM0805, DNL, C521, , , , YES, 10% X7R 100V, , DO NOT LOAD; ceramic capacitor
#3, 2, (no value), , , SM1206, DNL, C215 C216, , , YES, , , , DO NOT LOAD
#4, 2, 470n/100, AVX, ESD61C474K4T2A-28, SM1206, DNL, C504 C505, , , , YES, 10% X7R 100V, >= 100V, DO NOT LOAD; ceramic capacitor
#5, 3, BNC, Amp Connex, 112640, BNC_SMA_NO_VIP, DNL, J10 J23 J25, , , , YES, 50 Ohm; edge mount, fits 1.6mm/63mil PCB thickness; compatible with SMA footprint, DO NOT LOAD; BNC connector using SMA footprint
#6, 2, RJ45, FCI, 54602-908LF, RJ45_8, DNL, J11 J21, , , , YES, 8pos; right angle; unshielded; CAT3, , DO NOT LOAD; RJ45 modular jack
#7, 3, TB_2, TE Conn, 282834-2, TB_2P_2_54MM, DNL, J12 J20 J27, , , , YES, 2pos 2.54mm; fits 1.6mm/63mil thick PCB, , DO NOT LOAD; terminal block side wire entry
#8, 1, J310, Fairchild, MMBFJ310, SOT23_DGS, DNL, Q507, 6T, , , YES, 25Vds, , DO NOT LOAD; N-chan JFET
#9, 2, 100R, Panasonic, ERJ-6ENF1000V, SM0805, DNL, R503 R504, , , , YES, 1% 125mW 150V, , DO NOT LOAD; thick film resistor
#10, 1, 1M, Panasonic, ERJ-6ENF1004V, SM0805, DNL, R511, , , , YES, 1% 125mW 150V, , DO NOT LOAD; thick film resistor
#11, 2, 0R, Panasonic, ERJ-6GEY0R00V, SM0805, DNL, R513 R518, , , , YES, , , DO NOT LOAD; zero-ohm jumper
#12, 1, 47R, Panasonic, ERJ-6ENF47R0V, SM0805, DNL, R517, , , , YES, 1% 125mW 150V, , DO NOT LOAD; thick film resistor
#13, 3, T1-6, MCL, T1-6-KK81+, MCL_KK81, DNL, T203 T502 T504, , , , -- NO --, 1:1 10kHZ-150MHz , , DO NOT LOAD; RF transformer
#14, 1, T-622, MCL, T-622-KK81+, MCL_KK81, DNL, T501, , , , -- NO --, 1:1:1 100KHz-200MHz, , DO NOT LOAD; RF transformer

#15, 14, 0R, Panasonic, ERJ-6GEY0R00V, SM0805, SMT, L501 L502 L503 L504 L505 R213 R214 R215 R512 R515 R516 R519 R523 R524, , , , YES, , , zero-ohm jumper
#16, 4, 47R, Panasonic, ERJ-6ENF47R0V, SM0805, SMT, R204 R205 R206 R207, , , , YES, 1% 125mW 150V, , thick film resistor
#17, 1, 100R, Panasonic, ERJ-6ENF1000V, SM0805, SMT, R514, , , , YES, 1% 125mW 150V, , thick film resistor
#18, 2, 470R, Panasonic, ERJ-6ENF4700V, SM0805, SMT, R508 R509, , , , YES, 1% 125mW 150V, , thick film resistor
#19, 1, 680R, Panasonic, ERJ-6ENF6800V, SM0805, SMT, R201, , , , YES, 1% 125mW 150V, , thick film resistor
#20, 3, 1K, Panasonic, ERJ-6ENF1001V, SM0805, SMT, R203 R208 R521, , , , YES, 1% 125mW 150V, , thick film resistor
#21, 2, 1K5, Panasonic, ERJ-6ENF1501V, SM0805, SMT, R216 R525, , , , YES, 1% 125mW 150V, , thick film resistor
#22, 1, 2K2, Panasonic, ERJ-6ENF2201V, SM0805, SMT, R506, , , , YES, 1% 125mW 150V, , thick film resistor
#23, 1, 11K, Panasonic, ERJ-6ENF1102V, SM0805, SMT, R520, , , , YES, 1% 125mW 150V, , thick film resistor
#24, 1, 11K5, Panasonic, ERJ-6ENF1152V, SM0805, SMT, R202, , , , YES, 1% 125mW 150V, , thick film resistor
#25, 2, 100K, Panasonic, ERJ-6ENF1003V, SM0805, SMT, R505 R507, , , , YES, 1% 125mW 150V, , thick film resistor
#26, 2, 1M, Panasonic, ERJ-6ENF1004V, SM0805, SMT, R501 R502, , , , YES, 1% 125mW 150V, , thick film resistor
#27, 1, 10R/0.66W, Panasonic, ERJ-P08F10R0V, SM1206, SMT, R510, , , , YES, 1% 660mW 500V, , thick film resistor
#28, 7, 1n/100, Murata, GRM219R72A102KA01J, SM0805, SMT, C211 C522 C523 C524 C525 C526 C527, , , , YES, 10% X7R 100V, >= 100V, ceramic capacitor
#29, 6, 100n/100, Murata, GRM21BR72A103KA01L, SM0805, SMT, C204 C205 C206 C207 C208 C509, , , , YES, 10% X7R 100V, , ceramic capacitor
#30, 2, 10u/25, Murata, GRM219R61E106KA12D, SM0805, SMT, C510 C520, , , , YES, 10% X5R 25V, , ceramic capacitor
#31, 10, 470n/100, AVX, ESD61C474K4T2A-28, SM1206, SMT, C201 C203 C212 C214 C501 C502 C503 C506 C507 C508, , , , YES, 10% X7R 100V, >= 100V, ceramic capacitor
#32, 1, 22u/25 TA, Kemet, T491D226K025AT, CAP_D, SMT, C210, , , , YES, 10% 25V 0R8ESR, , tantalum capacitor
#33, 3, 330u/35 EL, Nichicon, UWT1V331MNL1GS, CAP_10x10, SMT, C209 C217 C218, , , , YES, 20% 35V 0A3RIPPLE, , aluminum electrolytic capacitor
#34, 1, 120mH 60mA, Eaton Bussmann, DR125-124-R, INDUCTOR_12x12, SMT, L202, DR125-124, , , YES, ferrite 20% 60mA 150Z, >= 60 mA DC, inductor; use: bias tee
#35, 2, 100uH, TDK, B82432T1104K, SM1812, SMT, L201 L506, , , , -- NO --, ferrite 10% 200mA 20Q@0.8MHz, >= 200 mA DC, inductor; use: bias tee
#36, 3, CMC 2 mH, Bourns, SRF0905A-202Y, CMC, SMT, T201 T202 T503, 202Y, , , -- NO --, ferrite 50% 600mA, , inductor; use: bias tee
#37, 1, BR 0.5A 400V, Vishay, MB2S-E3/80, TO269_AA, SMT, D201, 2, , , YES, 200V 0.5AIf, , bridge rectifier
#38, 1, J310, Fairchild, MMBFJ310, SOT23_DGS, SMT, Q501, 6T, , , YES, 25Vds, , N-chan JFET
#39, 1, J271, Fairchild, MMBFJ271, SOT23_DGS, SMT, Q502, 62T, , , YES, 30Vgs, , P-chan JFET
#40, 2, BFG31, NXP, BFG31.115, SOT223_EBEC, SMT, Q503 Q506, , , , -- NO --, 15Vceo 5GHz, , PNP wideband
#41, 2, BFG35, NXP, BFG35.115, SOT223_EBEC, SMT, Q504 Q505, , , , -- NO --, 18Vceo 4GHz, , NPN wideband
#42, 1, MMBT4401, On Semi, MMBT4401LT1G, SOT23_BCE, SMT, Q201, 2X, , , YES, 40Vceo 600mAIc, , NPN switching BJT
#43, 1, LM2941, TI, LM2941SX/NOPB, TO263, SMT, U201, , , , -- NO --, 26Vin 1.0A 1.0Vdo, , adj LDO voltage reg
#44, 1, TPS7A4501, TI, TPS7A4501DCQR, SOT232_6, SMT, U501, , , , -- NO --, 20Vin 1.5A 0.3Vdo, , adj low-noise LDO voltage reg
#45, 4, FB 80Z, TDK, MMZ2012D800B, SM0805, SMT, L507 L508 L509 L510, , , , YES, 25% 500mA 80Z@100M, , ferrite chip
