1n/100,7,"C211 C522 C523 C524 C525 C526 C527",kiwi-SM0805
100n/100,6,"C204 C205 C206 C207 C208 C509",kiwi-SM0805
470n/100,10,"C201 C203 C212 C214 C501 C502 C503 C506 C507 C508",kiwi-SM1206
10u/25,2,"C510 C520",kiwi-SM0805
22u/25 TA,1,"C210",kiwi-CAP_D
330u/35 EL,3,"C209 C217 C218",kiwi-CAP_10x10
DNL,11,"C511 C512 C513 C514 C515 C516 C517 C518 C519 R217 R522",kiwi-SM0805
DNL 100n/100,1,"C521",kiwi-SM0805
DNL,2,"C215 C216",kiwi-SM1206
DNL 470n/100,2,"C504 C505",kiwi-SM1206
TVS 25VAC,1,"D202",kiwi-SM0805
BR 0.5A 400V,1,"D201",kiwi-TO269_AA
E_FIELD_PROBE,1,"EP501",kiwi-E_FIELD_PROBE
PPTC 200 mA,2,"F201 F202",kiwi-SM1812
FIDUCIAL,2,"FID3 FID4",kiwi-FIDUCIAL
FIDUCIAL,2,"FID1 FID2",kiwi-FIDUCIAL_2_SIDE
LOGO,2,"GFX1 GFX2",kiwi-KIWI_10MM
OSHW,2,"GFX3 GFX4",kiwi-OSHW_6MM
DNL BNC,3,"J10 J23 J25",kiwi-BNC_SMA_NO_VIP
DC JACK 2.1MM,1,"J28",kiwi-DC_JACK_2_1MM
DNL RJ45,2,"J11 J21",kiwi-RJ45_8
DNL TB_2,3,"J12 J20 J27",kiwi-TB_2P_2_54MM
TB_2,4,"J13 J22 J24 J26",kiwi-TB_2P_2_54MM
0R,14,"L501 L502 L503 L504 L505 R213 R214 R215 R512 R515 R516 R519 R523 R524",kiwi-SM0805
100uH,2,"L201 L506",kiwi-SM1812
120mH 60mA,1,"L202",kiwi-INDUCTOR_12x12
FB 80Z,4,"L507 L508 L509 L510",kiwi-SM0805
MTG_HOLE 3.5 MM,4,"MTG1 MTG2 MTG3 MTG4",kiwi-MTG_NPTH_3_5MM
BFG31,2,"Q503 Q506",kiwi-SOT223_EBEC
BFG35,2,"Q504 Q505",kiwi-SOT223_EBEC
MMBT4401,1,"Q201",kiwi-SOT23_BCE
J310,1,"Q501",kiwi-SOT23_DGS
J271,1,"Q502",kiwi-SOT23_DGS
DNL J310,1,"Q507",kiwi-SOT23_DGS
10R/0.66W,1,"R510",kiwi-SM1206
47R,4,"R204 R205 R206 R207",kiwi-SM0805
100R,1,"R514",kiwi-SM0805
470R,2,"R508 R509",kiwi-SM0805
680R,1,"R201",kiwi-SM0805
1K,3,"R203 R208 R521",kiwi-SM0805
1K5,2,"R216 R525",kiwi-SM0805
2K2,1,"R506",kiwi-SM0805
11K,1,"R520",kiwi-SM0805
11K5,1,"R202",kiwi-SM0805
100K,2,"R505 R507",kiwi-SM0805
1M,2,"R501 R502",kiwi-SM0805
DNL 100R,2,"R503 R504",kiwi-SM0805
DNL 1M,1,"R511",kiwi-SM0805
DNL 0R,2,"R513 R518",kiwi-SM0805
DNL 47R,1,"R517",kiwi-SM0805
CMC 2 mH,3,"T201 T202 T503",kiwi-CMC
DNL T1-6,3,"T203 T502 T504",kiwi-MCL_KK81
DNL T-622,1,"T501",kiwi-MCL_KK81
TEST_POINT,4,"TP201 TP202 TP501 TP502",kiwi-TP_1250
TPS7A4501,1,"U501",kiwi-SOT232_6
LM2941,1,"U201",kiwi-TO263
