DNL no value, 2, , , kiwi-SM1206, C215 C216
VIR FIDUCIAL, 2, , , kiwi-FIDUCIAL, FID3 FID4
VIR LOGO, 1, , , kiwi-KIWI_10MM, GFX2
VIR OSHW, 1, , , kiwi-OSHW_6MM, GFX4
DNL BNC, 2, Amp Connex, 112640, kiwi-BNC_SMA_NO_VIP, J23 J25
DNL RJ45, 1, FCI, 54602-908LF, kiwi-RJ45_8, J21
DNL TB_2, 2, TE Conn, 282834-2, kiwi-TB_2P_2_54MM, J20 J27
VIR MTG_HOLE 3.5 MM, 4, , , kiwi-MTG_NPTH_3_5MM, MTG1 MTG2 MTG3 MTG4
DNL no value, 1, , , kiwi-SM0805, R217
DNL T1-6, 1, MCL, T1-6-KK81+, kiwi-MCL_KK81, T203
VIR TEST_POINT, 2, , , kiwi-TP_1250, TP201 TP202
