DNL 10n, 1, Murata, GRM155R71C103KA01D, wrx-SM0402, C107
VIR FPGA FIDUCIAL, 2, , , wrx-FIDUCIAL, FID1 FID2
VIR GLOBAL FIDUCIAL, 4, , , wrx-FIDUCIAL, FID3 FID4 FID5 FID6
DNL BNC, 1, Amp Connex, 112640, wrx-BNC_SMA_EM, J2
DNL U.FL, 2, Hirose, U.FL-R-SMT-1, wrx-U.FL, J4 J5
DNL no value, 1, , , wrx-SM0402, R407
DNL no value, 1, , , wrx-SM0805, R309
VIR TEST_POINT, 2, , , wrx-TP_1250, TP302 TP303
VIR TEST_POINT, 5, , , wrx-TP_600, TP101 TP105 TP401 TP701 TP702
VIR TEST_POINT, 5, , , wrx-TP_VIA_1250, TP102 TP103 TP104 TP304 TP305
VIR TEST_POINT, 2, , , wrx-TP_VIA_600, TP301 TP402
