10R, 100, 0.0030 Pana,ERJ-2RKF10R0X Newark,90W2943 
28R7, 100, 0.0030 Pana,ERJ-2RKF28R7X Newark,90W3021 
100R, 400, 0.0030 Pana,ERJ-2RKF1000X Newark,90W2947 
5K6, 500, 0.0030 Pana,ERJ-2RKF5601X Newark,90W3063 
6K65, 100, 0.0030 Pana,ERJ-2RKF6651X Newark,51W9221 
10K, 100, 0.0030 Pana,ERJ-2RKF1002X Newark,90W2949 
0R, 200, 0.0030 Pana,ERJ-3GEY0R00V Newark,97W7591 
56p, 200, 0.0100 Murata,GRM1555C1H560JA01D Newark,14T3298 
2.2u, 300, 0.0280 Murata,GRM155R61A225KE95D Newark,31Y1747 
330nH, 200, 0.0120 TDK,MLG1005SR33J Newark,17T6424 
1uH 3.7A, 100, 0.2040 Bourns,SRN4018-1R0Y Newark,54W0051 
SR 5A 40V, 100, 0.1140 Vishay,SSB44-E3/52T Newark,77K7964 
LP5900 3.3V 150mA, 200, 0.3140 TI,LP5900SD-3.3/NOPB Newark,28X3629 
LP5900 1.8V 150mA, 100, 0.3140 TI,LP5900SD-1.8/NOPB Newark,28X3627 
NC7SZ126, 100, 0.0300 Fairchild,NC7SZ126P5X Newark,84H6496 
LTC6401-20, 100, 3.4700 LTC,LTC6401CUD-20#PBF Newark,57M0114 
FB 600Z, 300, 0.0210 TDK,MMZ1005B601C Newark,33P7558 
16.368 MHz, 100, 1.5900 TXC,7Q-16.368MBG-T Newark,24T5646 
TB_2, 100, 0.3060 TE,282836-2 Newark,23C9697 
SMA, 100, 2.7400 Molex,73251-1150 Newark,32M0773 
