2025.6;0000-2400;;USA;Veterans Health Adm.ALE;;USA;;1;;
2070.4;0000-2400;;D;German Fed.Police ALE;;D;;1;;[1219]
2142.5;0000-2400;;D;German Fed.Police ALE;;D;;1;;
2216;0000-2400;;G;DHFCS Forest Moor ALE;;WEu;in;1;;[1019]
2233.5;0000-2400;;D;German Red Cross ALE;;D;;1;;
2234.5;0000-2400;;G;DHFCS Forest Moor ALE;;WEu;ic;1;;
2250;0000-2400;;DNK;Danish Military ALE;;NEu;;1;;
2289;0000-2400;;USA;NTA Emergency ALE Net;;USA;;1;;
2358;0000-2400;;POL;Internal Ministry ALE;;POL;;1;;
2379.6;0000-2400;;HOL;Dutch Navy ALE;;HOL;o;1;;[0120]
2505;0000-2400;;D;German Fed.Police ALE;;D;;1;;[1219]
2553;0000-2400;;AUT;Austrian Military ALE;;AUT;;1;;[1119]
2559;0000-2400;;D;German Fed.Police ALE;;D;;1;;[1219]
2627;0000-2400;;POL;Polish Army ALE;;POL;;1;;[1119]
2638.6;0000-2400;;G;DHFCS Forest Moor ALE;;WEu;ic;1;;[1219]
2649;0000-2400;;G;DHFCS Forest Moor ALE;;WEu;ic;1;;
2658;0000-2400;;DNK;Danish Navy ALE;;NEu;f;1;;[1219]
2673;0000-2400;;D;German Coast Guard ALE;;D;;1;;
2673;0000-2400;;D;German Fed.Police ALE;;D;;1;;
2685;0000-2400;;USA;FEMA Emergency ALE;;USA;;1;;
2726;0000-2400;;USA;Veterans Health Adm.ALE;;USA;;1;;[0120]
2732;0000-2400;;HOL;Dutch Military ALE;;HOL;;1;;
2766;0000-2400;;G;DHFCS Forest Moor ALE;;WEu;ic;1;;[1219]
2784;0000-2400;;G;DHFCS Forest Moor ALE;;WEu;in;1;;[1119]
2805;0000-2400;;USA;US Air Force ALE;;Glo;;1;;
3059;0000-2400;;USA;US Air Force ALE;;Glo;;1;;
3086;0000-2400;;G;DHFCS Forest Moor ALE;;WEu;ic;1;;[1219]
3095;0000-2400;;G;DHFCS Forest Moor ALE;;WEu;ic;1;;[1219]
